Company Name,Income in $ million,U.S. Tax Rate Paid,Effective Tax Rate
Edwards Lifesciences Corp,284,10,17
Omnicom Group,1549,10,33
NIKE Inc B,2844,10,25
Hasbro Inc,486,10,21
Adobe Systems Inc,1035,10,20
People’s United Financial Inc,296,10,33
NYSE Euronext,725,10,17
Ingersoll-Rand Plc,613,10,31
Mosaic Co,3271,10,23
Accenture plc,3512,10,27
Colgate-Palmolive Co,3789,10,33
Emerson Electric Co,2450,9,28
SCANA,555,9,30
"Heinz, H.J. Co",1183,9,21
Diamond Offshore Drilling,1179,9,18
Ball Corp,660,9,31
"DuPont, E.I. de Nemours",4282,9,18
CBS Corp B,2083,9,36
Red Hat Inc,208,9,30
Dell Inc,4240,9,18
Analog Devices Inc,1061,9,19
Parker-Hannifin Corp,1414,9,25
Symantec Corp,1470,8,20
ConocoPhillips,23001,8,46
Archer-Daniels-Midland Co,3015,8,33
Hess Corp,2461,8,32
Genworth Financial Inc,314,8,17
Comerica Inc (MI),530,8,26
Kraft Foods Inc A,4772,8,26
Peabody Energy Corp,1374,8,26
Honeywell Intl Inc,2282,7,18
Flowserve Corp,588,7,27
Cameron International Corp,651,7,20
3M Co,6031,7,28
Celgene Corp,1420,7,7
Waters Corp,509,7,15
Boston Scientific Corp,642,7,31
PepsiCo Inc,8834,7,27
Lam Research Corp,801,7,10
KeyCorp,1345,7,27
Goldman Sachs Group Inc,6169,7,28
Murphy Oil Corp,1551,6,52
Amphenol Corp A,717,6,26
Helmerich & Payne Inc,687,6,37
Expedia,402,6,19
Stryker Corp,1686,6,20
MeadWestvaco Corp,422,6,38
Rockwell Automation Inc,868,6,20
Loews Corp,2232,6,24
Legg Mason Inc,303,6,24
Nabors Industries Ltd,488,6,29
United Technologies Corp,7605,6,29
Eaton Corp,1553,5,13
Teradata Corp,481,5,27
EQT Corporation,759,5,37
Xylem Inc,383,5,27
General Electric Co,20098,5,29
BB&T Corp,1628,5,18
EOG Resources,1910,5,43
Facebook,1695,5,41
FMC Technologies Inc,553,5,27
Yum! Brands Inc,1659,5,20
PNC Finl Services Group,4069,5,25
Fifth Third Bancorp (OH),1831,4,29
Freeport McMoRan Copper & Gold,8818,4,35
Pall Corp,420,4,25
Sempra Energy,1721,4,21
Cummins Inc,2671,4,27
Hewlett-Packard Co,8982,4,21
Borgwarner Inc,766,4,25
Chevron Corp,47634,4,43
Juniper Networks Inc,572,3,26
Harman Intl Industries Inc,160,3,15
Xerox Corp,1565,3,25
